Procesos,Intervalo,Tiempo_promedio,Desviacion_estandar
25,10,1.04,0.5087396190587086
50,10,0.64,0.6332645576692255
100,10,0.21,0.45748989059868855
150,10,0.15333333333333332,0.4347133580920924
200,10,0.125,0.40639420517522146
25,5,1.32,0.48806556936542855
50,5,0.58,0.6338454070197245
100,5,0.22,0.46033900551658663
150,5,0.15333333333333332,0.4347133580920924
200,5,0.125,0.40639420517522146
25,1,1.04,0.5087396190587086
50,1,0.58,0.6338454070197245
100,1,0.22,0.46033900551658663
150,1,0.15333333333333332,0.4347133580920924
200,1,0.125,0.40639420517522146
